question,document
What’s the Pandas way to compute a quantile for a single column?,b4c8ac5a0c
How do I find the 0.75 quantile in a Pandas Series?,b4c8ac5a0c
Is there a simple function in Pandas for percentile calculation on a column?,b4c8ac5a0c
What code should I use to calculate a column’s 75% percentile in Pandas?,b4c8ac5a0c
"How do I force delete every Docker container, even the ones still running, from the terminal?",66ccbb7da0
What command removes all Docker images at once with force?,66ccbb7da0
How can I wipe out all Docker volumes from the command line?,66ccbb7da0
"Is there a quick terminal way to clean up all containers, images, and volumes in Docker?",66ccbb7da0
"What are the commands to fully reset Docker by deleting containers, images, and volumes?",66ccbb7da0
How can I stop Streamlit session state from resetting so users can only send feedback once per submission?,2e729f1271
Why does `st.session.submitted` get set back to True even after I click a feedback button?,2e729f1271
What’s the best way to disable the +1 / -1 buttons after the ask button is used in Streamlit?,2e729f1271
My Streamlit app keeps reassigning session attributes — how do I fix `st.session.submitted`?,2e729f1271
Is there a known fix for the Streamlit session state issue where feedback can be submitted more than once?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works outside Docker?",e8df9f0d12
What do I need to add or change in docker-compose so a Streamlit app can actually start inside the container?,e8df9f0d12
"Do I need a Dockerfile for this Streamlit + docker-compose setup, or is docker-compose enough on its own?",e8df9f0d12
"After updating my Docker setup, what’s the right command to rebuild the image and run the app again?",e8df9f0d12
I’m seeing an OCI runtime create failed error with Streamlit in docker-compose — how can I fix it?,e8df9f0d12
"Can the capstone be done as a team project, or does each person need to submit their own work?",0fab61eca2
"If we brainstorm the idea together, is that still okay for the capstone?",0fab61eca2
Could several students build one system if each person has a separate part to submit?,0fab61eca2
Do we need a different repo for every student’s capstone submission?,0fab61eca2
How strict is the rule about being able to judge each participant’s project on its own?,0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What do you mean by attempt 1 and attempt 2 for the project submission?,d5fc98925d
"If my first submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"If I miss the first deadline, can I still submit in the second window?",d5fc98925d
Does the capstone submission count for certification if I don’t review three peers?,d5fc98925d
"Is the competition itself considered the capstone project, or is it separate?",e892d44e42
Can I use the math-kaggle-llm-competition as my capstone for the course?,e892d44e42
"If I join the competition with a team, does that still count toward the capstone?",e892d44e42
"Is the capstone in llm-zoomcamp supposed to be done individually, even if I participate in the competition?",e892d44e42
"Can students collaborate in the competition, or is the capstone only an individual project?",e892d44e42
How will my capstone project get graded in this course?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
Do I have to review other students’ capstone projects too?,9a2e2d2008
What happens if I don’t grade the required number of peer projects?,9a2e2d2008
How is the final score for the capstone project calculated?,9a2e2d2008
"When do we get assigned the projects to review for grading, and what’s the process?",eae0fb50aa
"After the deadline passes, how are the review projects distributed to each participant?",eae0fb50aa
"Will there be a list or spreadsheet of projects for peer grading, and when is it shared?",eae0fb50aa
How many projects will each person be assigned to evaluate once submissions are closed?,eae0fb50aa
"For the capstone review stage, do we get 3 projects each after the submission deadline?",eae0fb50aa
"I already turned in my capstone project, so why don’t I see anything to review yet?",a8a7fef016
"After the submission deadline is over, how do project reviews get assigned?",a8a7fef016
Can I pick which projects I want to evaluate in the capstone course?,a8a7fef016
Why is the review list still empty even though I submitted my project?,a8a7fef016
Do I have to wait until the project list is released before I can start reviewing?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with some ideas plus datasets I can use for the project?,e76a70cde3
I’m stuck on the capstone — where do I find a list of possible datasets and topics?,e76a70cde3
Do you have a GitHub link with project suggestions and data sources for the capstone?,e76a70cde3
What’s the best place to check for ideas and datasets before starting the project?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project ingestion pipeline, or is plain Python enough?",d4f7c08ea1
"If I build the ingestion pipeline in a Jupyter notebook instead of a script, will that still get full credit?",d4f7c08ea1
"Is using an orchestration tool required for the project, or can I skip it if my data only needs a simple ingest-and-index flow?",d4f7c08ea1
"When would it make sense to use an orchestrator in the capstone, like for a daily-updated feed?",d4f7c08ea1
"Can I earn the ingestion pipeline points without adding an orchestrator, and should I avoid one if it’s only there for grading?",d4f7c08ea1
How can I evaluate a recommender-style RAG project if I don’t have clear ground-truth answers?,9b0e2d6a47
Is there a way to create synthetic test queries for evaluating retrieval in a recommendation RAG setup?,9b0e2d6a47
"What metrics should I use for ranking-style RAG evaluation, like hit rate, MRR, or NDCG?",9b0e2d6a47
Can I use an LLM as a judge to score the quality of my RAG recommendations end to end?,9b0e2d6a47
Why would NDCG be a better choice than hit rate when multiple items could be acceptable results?,9b0e2d6a47
"For a huge PDF corpus, should I just spend time building the perfect chunker first, or is there a better way to start?",6f2a8b3d10
"What’s a solid first chunking setup for long docs with lots of text, and how do I know if it’s actually helping retrieval?",6f2a8b3d10
Is it worth using an LLM to split documents into sections instead of plain fixed-size chunks?,6f2a8b3d10
"Would adding a short summary to each chunk improve search, and how should I use those summaries?",6f2a8b3d10
"For legal or financial documents, should I rely on semantic search only, or does combining BM25 with embeddings work better?",6f2a8b3d10
What do you mean by reproducibility for the capstone project — does the reviewer need my API keys?,e5d8a2c761
How should I set up the repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Should I commit my .env file, or is there a safer way to handle credentials in the project?",e5d8a2c761
"Do I need to use a cheap model in the project, and why does that matter for reviewers?",e5d8a2c761
What should I pin or document so the project can be run with the same dependencies and environment later?,e5d8a2c761
"Can I do the homework or capstone in a language other than Python, like JavaScript, Go, or Rust?",ea815eb858
"If I use a non-Python stack for the project, what kind of README or setup instructions do I need to include?",ea815eb858
Why is Python the recommended choice for assignments and the final project in this course?,ea815eb858
"Would a reviewer still accept my submission if I built it with Java, Scala, C#, or R instead of Python?",ea815eb858
"What are the minimum steps I should document so someone can run my project on Windows, macOS, and Linux if I don't use Python?",ea815eb858
Where can I see earlier LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with past LLM Zoomcamp projects I can browse?,930286278d
Can I look at 2024 and 2025 LLM Zoomcamp project examples somewhere?,930286278d
Where do I find submitted capstone repos from previous LLM Zoomcamp cohorts?,930286278d
Are there links to old LLM Zoomcamp projects so I can check the expected project level?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Is there any requirement to announce my project topic for the capstone first?,897a350476
Can I ask for feedback on my project idea in Slack before I begin?,897a350476
Is it okay if my capstone idea is similar to a previous project from the course site?,897a350476
"Do I have to make sure my project topic is unique, or can I work on a similar idea as long as my own implementation is different?",897a350476
Can I submit a capstone project as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is it okay if my project is just a CLI or notebook, or does it have to be a website?",7318a90b14
Are there any rules about what kind of interface I need to use for the end user?,7318a90b14
"Does the course require us to build the app interface ourselves, or can we use whatever works?",7318a90b14
"If I choose Slack, WhatsApp, or another custom front end, will that still count for the capstone as long as it meets the criteria?",7318a90b14
"What should I use to pull text out of PDFs for my RAG app, especially if they’re messy or scanned?",d8b28c47a0
Is there a recommended library for converting PDF files into Markdown or JSON for a knowledge base?,d8b28c47a0
"If my PDF is just images with no text layer, what OCR option should I try?",d8b28c47a0
Can I use something like PyMuPDF or unstructured instead of a dedicated PDF parser for RAG?,d8b28c47a0
"Do I need to follow one specific tool from the course, or is it okay to test a few and pick whichever works best?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is that not allowed?",d850a0e7ea
"Since dlt is open-source, does that mean I can apply what I learned here to other projects too?",d850a0e7ea
"Is it okay to use this workshop material for a different Zoomcamp project, like MLOps?",d850a0e7ea
"Can I directly use dlt in my own work, or should I only treat it as course material?",d850a0e7ea
"If I have questions while using this in a project, is it fine to ask about it even outside the workshop?",d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem to DuckDB setup?,6bceeebf04
"If I want to ingest files from cloud with dlt, how do I create the project first?",6bceeebf04
What’s the initial command for setting up a dlt pipeline from a filesystem source?,6bceeebf04
Where do I begin if I’m using dlt to load cloud data into DuckDB?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check if the homework table isn’t found in my dlt pipeline?,0407213397
"I renamed the table to `homework`, but opening `notion_pages___homework` still fails — what am I missing?",0407213397
How can I fix the missing `notion_pages___homework` table error in the Open-Source Data Ingestion workshop?,0407213397
Is there another setting besides the table name that needs to be updated from `employee_handbook` to `homework`?,0407213397
"Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(), and how do I fix it?",e95bfafc0e
"In the dlt workshop, what table name should I open instead of the one causing the missing table error?",e95bfafc0e
My code says the table doesn’t exist and asks me to call db.create_table(...); should I be opening a different table in line 3?,e95bfafc0e
How do I correctly set dbtable in the Notion pages homework example so I don’t hit the table-not-found error?,e95bfafc0e
What is the right db.open_table(...) call for notion_pages homework in the open-source data ingestion workshop?,e95bfafc0e
How can I see all the tables in my database?,e394e6f738
Is there a way to list every table that got created?,e394e6f738
What method should I use to check the table names in the DB?,e394e6f738
How do I find out which tables are currently inside the database?,e394e6f738
Can I get a list of all DB tables with a simple command?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are those missing for now?",cd19f122f3
"If I want to load data into ClickHouse with dlt, is there an official connector available yet?",cd19f122f3
Are there any plans or community contributions for adding StarRocks support in dlt?,cd19f122f3
"Can I use dlt with ClickHouse today, or do I need to build my own connector?",cd19f122f3
"Why doesn't dlt include ClickHouse and StarRocks connectors yet, and can contributors add them?",cd19f122f3
Why am I getting a 401 Unauthorized from the Notion API in the notebook?,0dfba07ace
What should I check if the notebook says it has no secret access to api.notion.com/v1/search?,0dfba07ace
Could this Notion API error be caused by a wrong or expired token?,0dfba07ace
How do I fix authorization problems when my notebook can’t access Notion?,0dfba07ace
What are the main things to verify when Notion API requests keep failing with 401?,0dfba07ace
"Why am I getting a 401 Client Error when trying to use the key, and what should I check first?",4b30b918bc
How can I force pip to install requests v2.32.3 from the GitHub source instead of the older version?,4b30b918bc
Is there a specific command to get the exact requests release that lancedb needs?,4b30b918bc
Could a wrong or unapproved key be the reason for the 401 error I’m seeing?,4b30b918bc
What’s the easiest way to install requests directly from the official tag zip if the normal pip install gives v2.28?,4b30b918bc
